INCOME,SAVINGS,DEBT,r_SAVINGS_INCOME,r_DEBT_INCOME,r_DEBT_SAVINGS,T_CLOTHING_12,r_CLOTHING_INCOME,r_CLOTHING_SAVINGS,r_CLOTHING_DEBT,T_EDUCATION_12,r_EDUCATION_INCOME,r_EDUCATION_SAVINGS,r_EDUCATION_DEBT,T_ENTERTAINMENT_12,r_ENTERTAINMENT_INCOME,r_ENTERTAINMENT_SAVINGS,r_ENTERTAINMENT_DEBT,T_FINES_12,r_FINES_INCOME,r_FINES_SAVINGS,r_FINES_DEBT,T_GAMBLING_12,r_GAMBLING_INCOME,r_GAMBLING_SAVINGS,r_GAMBLING_DEBT,T_GROCERIES_12,r_GROCERIES_INCOME,r_GROCERIES_SAVINGS,r_GROCERIES_DEBT,T_HEALTH_12,r_HEALTH_INCOME,r_HEALTH_SAVINGS,r_HEALTH_DEBT,T_HOUSING_12,r_HOUSING_INCOME,r_HOUSING_SAVINGS,r_HOUSING_DEBT,T_TAX_12,r_TAX_INCOME,r_TAX_SAVINGS,r_TAX_DEBT,T_TRAVEL_12,r_TRAVEL_INCOME,r_TRAVEL_SAVINGS,r_TRAVEL_DEBT,T_UTILITIES_12,r_UTILITIES_INCOME,r_UTILITIES_SAVINGS,r_UTILITIES_DEBT,T_EXPENDITURE_12,r_EXPENDITURE_INCOME,r_EXPENDITURE_SAVINGS,r_EXPENDITURE_DEBT,CAT_GAMBLING,CAT_DEBT,CAT_CREDIT_CARD,CAT_MORTGAGE,CAT_SAVINGS_ACCOUNT,CAT_DEPENDENTS,DEFAULT,CREDIT_SCORE
33269,0,532304,0,16,2,1889,0.0567795846,0.01755990948,0.003548724037,0,0,0,0,3068,0.0922179807,0.04081169138,0.005763623794,0,0,0,0,1313,0.03946616971,0,0.002466635607,4849,0.1457513,0.04809167309,0.009109456251,320,0.009618563828,0.01375794063,0.0006011602393,3006,0.09035438396,0,0.005647148998,0,0,0.008475285411,0,17893,0.5378280081,0.07758220927,0.0336142505,931,0.02798400914,0.01911883844,0.001749000571,33269,1,0.3225808029,0.0625,1,1,0,0,0,0,1,444
77158,91187,315648,1.181821716,4.090930299,3.461546054,5818,0.07540371705,0.06380295437,0.01843192417,0,0,0,0,17244,0.2234894632,0.1891059033,0.05463047445,0,0,0,0,0,0,0,0,5224,0.06770522823,0.05728886793,0.0165500811,467,0.006052515617,0.005121344051,0.001479496148,16339,0.2117602841,0.1791812429,0.05176335665,1973,0.02557090645,0.02163685613,0.006250633617,20234,0.2622411156,0.221895665,0.0641030515,2845,0.03687239172,0.03119962275,0.009013204582,70144,0.909095622,0.7692324564,0.2222222222,0,1,0,0,1,0,0,625
30917,21642,534864,0.7000032345,17.29999677,24.7141669,1157,0.03742277711,0.05346086314,0.002163166712,0,0,0,0,3611,0.1167965844,0.1668514925,0.006751248916,36,0.001164407931,0.001663432215,0.0000673068294,1201,0.03884594236,0.05549394695,0.002245430614,4335,0.1402141217,0.2003049626,0.00810486404,891,0.02881909629,0.04116994732,0.001665844028,2759,0.08923893004,0.1274835967,0.00515832062,0,0,0,0,16072,0.5198434518,0.7426300712,0.03004876006,855,0.02765468836,0.03950651511,0.001598537198,30917,1,1.428564828,0.05780347902,1,1,0,0,1,0,1,469
80657,64526,629125,0.8000049593,7.800004959,9.749945758,6857,0.0850143199,0.1062672411,0.01089926485,4402,0.05457678813,0.06822056225,0.00699701967,13446,0.1667059276,0.2083811177,0.02137254123,0,0,0,0,7796,0.09665621087,0.1208195146,0.01239181403,4547,0.05637452422,0.07046771844,0.00722749851,2068,0.02563943613,0.03204909649,0.003287105106,12619,0.1564526328,0.1955645786,0.02005801709,1675,0.02076695141,0.02595852835,0.002662427975,25038,0.3104256295,0.3880296315,0.03979813233,2209,0.0273875795,0.03423426216,0.003511225909,80657,1,1.249992251,0.1282050467,1,1,0,0,1,0,0,559
149971,1172498,2399531,7.818164845,15.99996666,2.046511806,1978,0.01318921658,0.001686996481,0.000824327754,0,0,0,0,5194,0.03463336245,0.004429858303,0.002164589664,0,0,0,0,1734,0.01156223537,0.001478893781,0.0007226412161,34814,0.2321382134,0.02969216152,0.01450866857,7513,0.05009635196,0.006407686836,0.003131028522,42658,0.2844416587,0.03638215161,0.01777764071,3941,0.02627841383,0.003361199763,0.001642404287,28167,0.1878163112,0.0240230687,0.01173854391,10338,0.06893332711,0.008817072609,0.004308341922,136337,0.9090890906,0.1162790896,0.05681818655,1,1,1,1,1,1,0,473
181636,339055,1695274,1.866672906,9.333359026,4.999997051,11446,0.06301614217,0.03375853475,0.006751710933,5680,0.03127133388,0.01675244429,0.003350490835,21832,0.1201964368,0.06439073307,0.01287815421,0,0,0,0,0,0,0,0,24778,0.1364156885,0.07307958886,0.01461592639,7429,0.04090048228,0.02191089941,0.004382182467,30650,0.1687440816,0.09039831296,0.01807967326,7889,0.04343301989,0.02326761145,0.004653525035,0,0,0,0,11387,0.0626913167,0.03358452169,0.006716908299,121091,0.6666685018,0.3571426465,0.07142857143,0,1,0,0,1,0,0,596
60881,42617,383550,0.7000049276,6.299995072,8.999929606,2658,0.04365894121,0.06236947697,0.006929996089,0,0,0,0,10264,0.1685911861,0.2408428561,0.02676052666,479,0.00786780769,0.01123964615,0.00124885934,0,0,0,0,3207,0.05267653291,0.07525166014,0.00836136097,1947,0.03198042082,0.04568599385,0.005076261244,9741,0.160000657,0.2285707581,0.02539694955,1411,0.02317636044,0.03310885327,0.003678790249,29482,0.4842561719,0.6917896614,0.07686611915,1692,0.02779192195,0.03970246615,0.004411419632,60881,1,1.428561372,0.1587302829,0,1,0,0,1,0,0,580
220838,186863,2225362,0.8461541945,10.076898,11.90905637,4383,0.01984712776,0.02345568679,0.001969567199,0,0,0,0,35845,0.1623135511,0.1918250269,0.01610749172,0,0,0,0,0,0,0,0,28124,0.1273512711,0.1505059857,0.01263794385,8873,0.04017877358,0.04748398559,0.003987216462,0,0,0,0,11593,0.05249549443,0.06204010425,0.005209489512,62496,0.2829947745,0.3344482321,0.02808352079,18561,0.08404803521,0.09932945527,0.008340665474,169875,0.7692290276,0.9090884766,0.07633589501,0,1,1,0,1,0,0,596
78615,62892,110061,0.8,1.4,1.75,5912,0.07520193347,0.09400241684,0.05371566677,0,0,0,0,23931,0.3044075558,0.3805094448,0.2174339684,0,0,0,0,11716,0.1490300833,0.1862876041,0.1064500595,8023,0.1020543153,0.1275678942,0.07289593952,2793,0.03552757107,0.04440946384,0.02537683648,20089,0.2555364752,0.319420594,0.1825260537,2668,0.03393754373,0.04242192966,0.02424110266,0,0,0,0,3483,0.04430452204,0.05538065255,0.03164608717,78615,1,1.25,0.7142857143,1,1,0,0,1,0,0,638
174000,1502729,411273,8.636373563,2.363637931,0.2736840774,2831,0.01627011494,0.001883905881,0.006883505603,0,0,0,0,8683,0.04990229885,0.005778154278,0.02111249705,0,0,0,0,2261,0.01299425287,0.001504595972,0.005497564878,45891,0.2637413793,0.0305384404,0.1115828173,6001,0.03448850575,0.003993401338,0.01459128122,51602,0.2965632184,0.0343388595,0.1254689707,4333,0.02490229885,0.002883420763,0.01053558099,24098,0.1384942529,0.01603615822,0.05859368351,12482,0.07173563218,0.008306221548,0.03034967041,158182,0.909091954,0.1052631579,0.3846155717,1,1,0,1,1,1,0,636
